customer_id,age,gender,annual_income,spending_score,purchase_frequency,avg_transaction_value,product_category,tenure_months,online_engagement_score,returns_ratio
25,50,Male,30123.407175715187,19,23,383.1453678499708,Sports,69,48.0,0.4108350983286027
26,29,Other,45678.87758532011,32,26,307.9779086315407,Home,20,20.0,0.12724874248642662
27,39,Other,47907.444427965405,9,29,180.83474181773587,Clothing,64,38.0,0.14339860812693078
28,61,Other,59380.98704136131,12,1,1156.8932300284712,Home,16,55.0,0.16877073813182045
29,42,Other,70134.69324973675,11,28,253.50238101711113,Clothing,51,68.0,0.24667636695562753
30,44,Female,55985.74103325432,46,27,229.53270904775266,Home,37,79.0,0.14059503939031606
31,59,Male,41879.284109954504,16,25,223.83054427289503,Home,69,88.0,0.011790889648108682
32,45,Other,79497.0056939226,1,24,120.11558095814934,Beauty,42,89.0,0.5276358340843172
33,33,Other,55290.865555906115,63,23,241.21843969470862,Home,57,1.0,0.5793658988285304
34,32,Other,62042.57841742068,21,10,289.79882058445264,Sports,66,7.0,0.20494223221894076
35,64,Male,71021.35490951815,30,15,219.16933379798274,Home,9,57.0,0.2031041276552837
36,61,Female,60777.55215845894,13,23,283.63619817980464,Clothing,64,95.0,0.004255087664622592
37,20,Male,60865.433894885806,34,21,180.84871432686555,Home,22,,0.4081504129982244
38,54,Female,80609.4684087166,4,21,238.7257668577904,Electronics,34,5.0,0.49526393744917724
39,24,Other,63027.38949140753,28,11,275.3232261286906,Clothing,55,50.0,0.0879649802160019
40,38,Other,77255.93971580979,95,13,265.1728701650737,Electronics,29,42.0,0.09579980962029044
41,26,Male,70893.34888636779,59,5,121.5627928224763,Clothing,38,12.0,0.47404994998286265
42,56,Male,100337.75088373832,27,1,214.8795239303017,Sports,18,,0.3697744490124868
43,35,Female,68188.2683573826,69,24,384.1970344250085,Sports,71,66.0,0.026916334576630205
44,21,Female,72759.46540301545,25,12,210.60431405355857,Sports,65,74.0,0.373528194277369
45,42,Male,82033.13427992734,3,11,251.26460352894716,Electronics,1,79.0,0.18535063370625962
46,31,Female,61272.355199003396,97,17,243.05953995608445,Beauty,4,94.0,0.22123509328250757
47,26,Male,47242.93806541118,68,4,375.4591807135721,Clothing,4,17.0,0.4618388509781281
48,43,Female,,25,15,353.22944977557364,Sports,27,68.0,0.48656111560356635
49,19,Male,50709.861489950235,20,25,314.6024799855048,Clothing,43,71.0,0.24021397610389839
50,37,Male,40993.38063606562,34,9,172.1406149301973,Electronics,59,62.0,0.5682917616038128
51,45,Male,66356.10338403768,26,21,278.7346439353664,Beauty,32,41.0,0.24387763077124333
52,64,Female,47409.66903901832,5,20,295.4353394460105,Electronics,33,95.0,0.4631016211380659
53,24,Female,63897.05642403694,99,19,194.11161315231564,Clothing,28,34.0,0.29032635873855545
54,61,Female,56826.51112578727,61,19,180.35863153218486,Beauty,55,70.0,0.5385193959132504
55,25,Male,59167.5701341497,92,12,386.4011317765624,Beauty,60,45.0,0.5446567461901072
56,64,Female,71121.13295657712,93,5,225.9357350226457,Electronics,70,58.0,0.052450084722650316
57,52,Female,49162.017512229046,9,10,379.19814551289187,Sports,62,51.0,0.5618959987861354
58,31,Male,72777.82091873547,50,17,329.7675004395627,Clothing,34,34.0,0.4953209049122494
59,34,Other,91346.15733277904,6,5,282.63014259002574,Home,56,44.0,0.4747864285876001
60,53,Male,66862.18165903517,83,22,286.20251490875876,Home,13,,0.12054680381131345
61,57,Female,44358.08629455062,60,16,137.9664351735386,Electronics,56,78.0,0.48307152525279895
62,21,Male,190798.5590928163,44,7,266.5419823867533,Clothing,18,70.0,0.5100796408110221
63,19,Other,55034.74198429769,11,28,363.3616330385301,Clothing,54,50.0,0.17349020067249057
64,23,Male,48102.194058608686,66,9,304.5071602548487,Electronics,43,32.0,0.5713560470173942
65,59,Female,40176.393807799,47,3,262.3469349651528,Clothing,39,67.0,0.029916087839498548
66,21,Other,63088.14553923384,73,15,386.9549756653624,Sports,61,3.0,0.0899455519482838
67,46,Female,55576.05336548402,85,16,235.1967421871357,Electronics,42,86.0,0.3225486828309086
68,35,Other,63794.417671161165,88,18,200.43554599826527,Sports,18,86.0,0.3454754826733858
69,43,Other,83727.74824430575,98,14,262.30655328626057,Clothing,23,74.0,0.38709004998054203
70,61,Male,55272.943321512816,86,3,311.31738944892766,Electronics,54,51.0,0.010181477589279874
71,51,Male,36291.59990639378,3,12,112.57647233533913,Clothing,30,,0.5762200647732781
72,27,Female,52022.150154928975,76,9,272.7894914792334,Electronics,58,76.0,0.026752855640486396
73,53,Male,75408.50434233285,92,28,314.8276012429048,Clothing,68,93.0,0.08583717163404143
74,31,Male,73535.4054143391,30,7,228.42866997625111,Sports,67,48.0,0.008408710515634188
75,48,Other,70372.79295227134,90,9,338.5571813042113,Sports,71,17.0,0.3401150599764568
76,32,Male,47505.865536757934,21,13,301.2949329928856,Clothing,18,7.0,0.5593601303525834
77,25,Other,75038.05236065396,28,18,421.3106494808862,Electronics,7,13.0,0.3995682996482785
78,31,Other,79537.98156074132,90,5,189.9517681935028,Home,40,66.0,0.4935944810882564
79,40,Other,46091.56740220048,62,13,316.4567880396871,Sports,70,4.0,0.007968722075148049
80,57,Female,59168.59804914951,33,4,168.61408737620764,Sports,65,10.0,0.32520917908783564
81,38,Female,100408.03927364224,85,2,120.77068389786191,Home,68,88.0,0.2757377865033131
82,33,Female,,35,16,87.15753257457017,Clothing,49,17.0,0.2993807665324758
83,62,Other,25898.266615125503,52,9,293.06592179175414,Electronics,52,52.0,0.04332791120111277
84,35,Female,87658.08868929597,34,9,264.7398331155282,Clothing,29,6.0,0.41066121664158445
85,64,Female,82732.0954340912,41,6,211.6759154110597,Beauty,21,83.0,0.30193224891518067
86,41,Male,50860.6535284515,51,11,108.11965328403096,Sports,9,69.0,0.45908930991675834
87,43,Female,57740.16436263827,47,22,194.76906990890592,Beauty,47,96.0,0.2911743804370292
88,42,Female,35501.298996220954,82,24,250.3274406140365,Sports,42,74.0,0.08962898173585924
89,62,Other,61779.04545219404,58,22,313.45354934344783,Sports,51,9.0,0.3889541724466932
90,58,Other,83318.27430742802,75,1,248.67713998018993,Beauty,56,91.0,0.10343181726309973
91,46,Other,49147.90316483444,57,4,270.1648274164222,Beauty,51,77.0,0.5234367380128889
92,32,Other,77542.03957572585,23,13,219.90940952206913,Clothing,70,83.0,0.3678697434415449
93,62,Other,69274.47714780865,48,23,389.93793620217235,Beauty,20,21.0,0.09432233013417254
94,18,Other,71556.33781762279,22,13,168.54002845374177,Clothing,27,24.0,0.5774028344887241
95,42,Female,50313.81638827264,17,13,194.0609426171898,Clothing,38,4.0,0.3110192780011924
96,24,Other,52907.51634133011,69,2,210.61135408051896,Clothing,65,24.0,0.043739071122993
97,26,Other,23064.55131057197,11,9,293.4163518381379,Sports,54,59.0,0.37609974264904034
98,41,Male,48666.611749797885,94,24,166.89121681704955,Sports,24,99.0,0.15191934420768613
99,18,Female,83269.70916062518,15,8,260.8574872438399,Beauty,47,3.0,0.48221607112638143
100,61,Female,41413.35611795453,91,7,263.1928114741246,Sports,71,68.0,0.4906932441397144
101,25,Female,44393.9669228619,35,4,194.4513623413296,Beauty,63,40.0,0.5873684135127971
102,41,Other,72803.79647414248,33,18,276.3983568765486,Sports,57,48.0,0.3011217186147022
103,28,Other,68055.36583986187,84,3,169.3748881010055,Electronics,55,54.0,0.27297412783664227
104,34,Other,73797.26499592602,16,28,160.6340686030603,Electronics,60,35.0,0.45208536326788834
105,25,Male,36735.58919819192,34,6,257.96846052171526,Beauty,62,95.0,0.07948239380515594
106,52,Other,111281.15898600692,66,12,117.21955316175497,Sports,30,56.0,0.3281493082758745
107,52,Male,35684.93251665499,99,12,78.41578379598097,Sports,22,89.0,0.32774856007851055
108,50,Female,63084.94627468136,40,21,292.62666406374404,Clothing,29,40.0,0.05368387368623233
109,22,Other,56826.89008262827,28,28,333.9175954072936,Home,41,77.0,0.2507904513041481
110,59,Male,36267.16965269905,47,8,212.65575050459768,Beauty,42,68.0,0.5119708791403211
111,56,Male,52595.811543735006,39,22,196.55434783217837,Home,65,46.0,0.5136921731967962
112,58,Other,60466.152017717395,70,22,330.4428180779648,Home,31,78.0,0.0595425989518086
113,45,Female,47000.5357627306,73,1,158.3569425600864,Beauty,30,13.0,0.05443252964869851
114,24,Female,78744.47243069699,20,4,140.93019002230733,Sports,18,27.0,0.15761728620116117
115,26,Female,56767.485090750575,1,21,306.610913896679,Beauty,17,6.0,0.5248596375323961
116,25,Male,33174.50657963427,72,28,250.7230549209846,Home,38,17.0,0.07734155104409936
117,29,Male,31477.48934661406,87,11,335.190139143219,Sports,14,36.0,0.43199808157646774
118,51,Male,72123.30181222913,63,3,78.77872969776166,Electronics,56,99.0,0.06069937176786193
119,50,Male,30264.584345993277,67,13,137.94608071051496,Beauty,22,81.0,0.37388271224869524
120,40,Female,66328.52146098168,4,25,251.14656478753253,Beauty,67,2.0,0.21364037947148687
121,41,Other,68893.10371333918,58,17,283.41389587870293,Sports,56,77.0,0.4733483777795202
122,54,Male,40092.89272151966,25,22,317.7597670151567,Electronics,19,52.0,0.14021426929521816
123,52,Male,77814.76167549781,47,22,263.98542150470223,Electronics,57,66.0,0.3835210976339759
124,61,Female,25644.127524767355,38,10,263.1724124286855,Sports,44,52.0,0.14140952074553095
125,57,Other,,15,21,218.84787655758413,Clothing,35,92.0,0.42819616986729225
126,39,Other,59182.84132807983,63,12,377.27239239236144,Beauty,1,43.0,0.5242068207364492
127,44,Female,57620.040485382124,21,15,161.75812356236017,Beauty,52,90.0,0.07608107947605602
128,52,Female,36442.06714038855,99,21,278.7216122044751,Home,70,22.0,0.519957413157302
129,18,Other,41259.55991200148,57,10,170.97529323295842,Sports,37,55.0,0.35614515264857877
130,52,Male,92376.04050041195,53,14,292.7822836644008,Home,65,67.0,0.07626629452021438
131,54,Other,84303.10017743507,46,13,167.0385944489787,Home,51,99.0,0.2565251132158272
132,64,Female,74841.69177047597,14,5,309.50525588003666,Electronics,1,60.0,0.09651617609105874
133,31,Male,78796.96207059376,76,6,258.96839574596135,Beauty,21,58.0,0.4202087333199417
134,20,Male,76920.27089342538,17,24,389.57113386069454,Home,53,12.0,0.45532088065076975
135,18,Female,53532.875754275825,39,2,227.51842821827316,Electronics,16,88.0,0.06347791216367937
136,22,Female,60952.07103628702,9,22,283.99728929980364,Sports,61,69.0,0.3036839116167866
137,43,Female,30549.832439179823,99,17,187.62749756314324,Home,54,84.0,0.4887750336155503
138,31,Other,58206.08746384948,77,4,226.96855948469644,Beauty,40,39.0,0.5616978249305978
139,56,Other,83668.28499078374,79,14,258.4599583555482,Home,26,13.0,0.308110720045062
140,44,Male,46785.85503485729,82,10,127.82240620229007,Sports,65,41.0,0.5701675341668442
141,26,Female,80462.82409374452,97,3,136.59008526521825,Home,64,57.0,0.3214133822736179
142,32,Male,61831.71477387526,6,25,297.9887439868516,Beauty,43,53.0,0.23651429675994476
143,32,Male,32292.562686605354,91,3,238.31305427746562,Electronics,17,12.0,0.5089218771317373
144,43,Male,37853.60973307377,23,15,202.56587735615824,Beauty,59,13.0,0.29578962627485345
145,59,Male,78386.0573941551,59,6,191.04110556665955,Electronics,23,74.0,0.2831415063387138
146,30,Female,,91,17,194.12089634210452,Clothing,7,97.0,0.29418749364589697
147,49,Male,62035.28145975251,98,12,259.0040572006583,Beauty,44,57.0,0.5080710011218472
148,56,Female,54519.36371504109,46,22,285.6028691292952,Beauty,53,40.0,0.4991649250128313
149,49,Female,64211.35955257171,38,20,82.63142162998207,Sports,71,80.0,0.2421119954641267
150,21,Other,,14,24,363.02672454159136,Home,34,45.0,0.199979915922315
151,47,Female,89517.0656097457,72,29,357.3360610353594,Electronics,46,35.0,0.2951568144234776
152,54,Other,90473.68398881209,62,11,63.54761891624804,Electronics,68,3.0,0.3436635058422654
153,40,Female,67439.19801516997,35,25,336.8741357058238,Sports,16,5.0,0.14300232637679816
154,56,Female,56561.36619270959,19,4,334.4175081064834,Sports,71,90.0,0.4763730508293543
155,62,Female,62924.960156377114,30,26,250.0356395350036,Home,19,11.0,0.2918896594394537
156,32,Other,70442.40714510159,78,28,146.2265102492099,Home,2,71.0,0.20042732905197574
157,60,Other,70361.33887690183,84,26,331.2182473332058,Beauty,10,56.0,0.06409259577839437
158,46,Male,86159.7327428021,25,6,230.7015146962119,Clothing,50,10.0,0.14330709624216414
159,53,Other,102315.1144383331,40,1,293.9103075055165,Home,12,34.0,0.5695687030535902
160,30,Other,55894.907407718274,88,20,427.5361017569423,Sports,70,67.0,0.18305981209171596
161,49,Other,103117.69817648924,14,23,270.1469400498895,Home,22,72.0,0.10131557362022119
162,24,Other,83444.78493516787,26,28,176.64922466251505,Electronics,32,,0.2764036749929959
163,39,Male,57983.54019629584,87,16,223.14152040642227,Clothing,1,75.0,0.1842526460161492
164,45,Other,359885.1871092064,22,15,186.844371180721,Beauty,54,71.0,0.02109555016271649
165,19,Female,,48,17,284.6791773958818,Electronics,58,66.0,0.19388713036765035
166,59,Female,50794.09111612306,83,8,185.51459530001563,Electronics,70,70.0,0.3264651743636811
167,62,Other,,51,28,212.17188621202854,Clothing,18,41.0,0.33102742321198014
168,23,Other,81501.65642071927,3,26,147.24557004739202,Beauty,6,63.0,0.2139353527061332
169,45,Female,429484.7302383354,42,12,239.43303955846855,Sports,45,32.0,0.26838165375156037
170,45,Female,51519.22836001002,19,27,264.14038346416396,Beauty,23,20.0,0.5793107509408598
171,61,Male,52931.465125280076,73,22,35.216956230600616,Home,23,57.0,0.22640908633818696
172,61,Female,19466.757405133198,28,21,270.76588491841767,Electronics,26,98.0,0.1549360879559898
173,37,Female,71423.87841135924,84,10,246.34398151225764,Home,7,50.0,0.14608022644005605
174,47,Other,67505.02511237437,45,27,188.8006440995098,Sports,44,80.0,0.2746587676224805
175,28,Female,48740.126569286665,71,15,412.29031394158983,Home,27,25.0,0.45571208923016643
176,45,Male,58362.98537023884,78,9,326.6781222083804,Beauty,26,,0.12359291051308391
177,42,Female,33775.579796497695,63,2,162.2878011078879,Home,36,71.0,0.4255776762844608
178,56,Other,83968.89905663372,73,5,317.0589503656912,Sports,55,39.0,0.01268989400964977
179,50,Other,50206.0105094338,19,6,349.5598460816846,Sports,64,17.0,0.2513597867903676
180,18,Female,121880.98031241902,47,7,260.56167380940457,Sports,57,45.0,0.4655190391216721
181,44,Other,56487.97398577935,14,21,278.915362955786,Beauty,69,11.0,0.20323977346465885
182,30,Male,44807.6231790338,38,25,277.06773335372725,Sports,61,70.0,0.3382422608672397
183,58,Male,51753.73762530276,53,1,83.13473128613691,Electronics,2,23.0,0.12298753969554647
184,20,Female,31760.780469114976,61,23,235.05043225196806,Sports,55,91.0,0.4451972346757034
185,56,Female,69645.43781405884,36,26,230.8869726412777,Home,38,70.0,0.03136746196125577
186,23,Female,51602.006004417555,40,7,364.4124509247903,Home,29,38.0,0.5115255869253001
187,25,Other,82625.05580795476,81,20,276.69822908494984,Home,26,2.0,0.11891783185300088
188,44,Male,54505.05009651165,30,25,226.19112303066441,Beauty,35,86.0,0.5246388190249984
189,26,Male,87688.84223371293,9,12,242.7900207207191,Home,67,84.0,0.2115175447803104
190,54,Other,75149.11498634082,64,16,331.8708465301921,Beauty,29,89.0,0.43361014468469194
191,50,Male,60571.93553436688,33,16,235.23322694037475,Beauty,34,,0.19153517867171307
192,59,Female,,52,11,194.14435735267128,Sports,41,93.0,0.5435470027407885
193,61,Female,79045.86922074419,89,21,227.94382456633068,Electronics,41,72.0,0.07598227531102461
194,41,Female,118924.2565332645,14,4,325.2556915058146,Sports,23,37.0,0.10711187356355922
195,32,Male,51810.89510043591,75,13,289.6931924478349,Sports,71,49.0,0.29581807509528135
196,49,Female,61532.32210916921,53,7,253.54143786792912,Beauty,3,52.0,0.049163063422887676
197,49,Other,91374.1802202186,99,4,265.32314395558643,Beauty,58,33.0,0.11758811082105715
198,41,Other,29129.243763297753,59,15,205.22060211236143,Home,32,22.0,0.5662598293272086
199,58,Male,86338.87126465124,78,19,234.48404796458772,Home,31,5.0,0.5858937966887323
200,29,Other,68786.05515362942,94,9,196.93565425803862,Sports,43,18.0,0.22575559759825314
201,56,Other,42235.784891055046,41,11,226.4176572560205,Clothing,7,,0.5539716126083614
202,19,Male,,68,8,357.69426109013,Clothing,1,37.0,0.326894805404059
203,20,Female,46550.21053739432,68,1,163.77025508982481,Home,61,94.0,0.16184547952426023
204,54,Female,14303.60855348856,92,23,194.9025866861668,Clothing,14,95.0,0.4214392326483592
205,34,Female,50209.211126169925,8,25,149.65609096513984,Home,52,64.0,0.3953410839449143
206,19,Male,72451.12666685163,2,24,132.32729942499213,Beauty,6,10.0,0.59347519146524
207,19,Other,50473.987180623444,86,8,235.05824686437668,Sports,10,79.0,0.15902837244556997
208,45,Female,87766.25402867617,41,13,601.7737963678113,Electronics,71,42.0,0.40323570159704125
209,40,Female,93198.95205450576,55,22,390.9351144633754,Sports,30,48.0,0.031214253017668135
210,54,Male,85512.88965251549,16,27,227.37227630577652,Home,21,44.0,0.06818762321803164
211,49,Female,,93,4,353.15174907440195,Home,60,82.0,0.0023510249706559573
212,50,Male,13506.414550270618,62,8,327.4405179952507,Sports,63,87.0,0.5996764086358038
213,18,Other,45926.050159347884,48,3,233.28366758207886,Home,42,97.0,0.48136421828848663
214,36,Male,,30,29,418.8108465668498,Clothing,51,16.0,0.47203380884012447
215,19,Male,42122.64700990378,12,9,271.4827189171847,Clothing,64,,0.3058356451729078
216,61,Male,57209.890490268575,35,29,371.04074128031914,Home,56,35.0,0.18004024974326396
217,43,Male,92201.34937386759,11,2,361.7277513265011,Home,41,98.0,0.09075857067760555
218,49,Other,27084.469409693636,64,2,283.17183880838263,Clothing,32,28.0,0.17080484330787818
219,23,Other,96233.84112238053,50,28,310.090467824468,Home,15,2.0,0.22558273315748345
220,49,Female,77694.52843508274,85,13,299.92571320955807,Home,62,94.0,0.4537860581881764
221,21,Other,65364.33616555391,21,15,158.45908548866336,Sports,27,13.0,0.32379707334189145
222,28,Other,45727.66888518472,69,28,254.5832283562413,Electronics,28,41.0,0.046490175933289614
223,34,Female,42520.99309017149,48,23,335.9397787155728,Clothing,64,80.0,0.010817405375347344
224,55,Other,27475.645708225205,20,12,372.09490538893294,Sports,59,59.0,0.06139930772043789
225,41,Male,94335.30960628773,67,26,192.34882625344403,Electronics,58,,0.2462992282184276
226,22,Male,90752.23120148083,44,4,292.3065041450416,Home,2,92.0,0.559915750229411
227,51,Female,31874.307428334356,33,26,262.0696170622028,Home,36,53.0,0.38244148872553296
228,23,Female,48947.440101875975,73,8,240.57007483347235,Sports,71,45.0,0.48109553992530907
229,39,Female,68662.89538463818,61,9,278.4802103380021,Home,13,20.0,0.2798247567027291
230,28,Male,54009.81723655584,9,23,267.439792853291,Beauty,15,24.0,0.21699964991702567
231,33,Other,21626.504859363646,68,5,293.31260550980704,Sports,60,61.0,0.06504022362997364
232,50,Male,46844.54478888623,35,24,365.3373408760042,Electronics,22,91.0,0.525559813311723
233,26,Female,99020.68596040037,81,20,312.73020726917605,Sports,63,94.0,0.4698960174167417
234,23,Other,48200.428191711115,98,18,274.84730070981624,Clothing,25,58.0,0.10087085855863506
235,33,Other,56730.65326595586,88,11,399.1700045458463,Sports,48,27.0,0.3073563383257563
236,46,Male,37096.45151929238,96,15,338.7943676704269,Home,43,,0.2924248847527469
237,20,Female,71755.25970567497,65,28,242.60812491173212,Home,38,7.0,0.37505493161191716
238,37,Male,62303.03598049167,8,22,152.6303678117676,Beauty,41,42.0,0.5677121363947567
239,53,Other,,45,9,170.97354552636278,Beauty,45,47.0,0.34786286505748776
240,36,Male,33906.892083851504,87,17,324.65859586525073,Beauty,40,53.0,0.32413036006717116
241,43,Male,88090.86748021751,47,27,199.57500165976148,Electronics,17,59.0,0.030193759760798366
242,20,Female,27889.131867178396,40,26,169.35556183104416,Beauty,57,38.0,0.03774448561081436
243,36,Female,70076.3139117911,76,12,189.35317386502405,Electronics,2,69.0,0.11240807479607333
244,37,Other,16922.415105768538,54,7,195.009255032744,Beauty,62,87.0,0.019482463015048967
245,49,Male,74144.23366024764,76,10,318.0518134225801,Electronics,9,92.0,0.44601173734200744
246,24,Male,79405.97774520122,46,25,237.46063393741792,Sports,68,98.0,0.4339981823963779
247,58,Male,81895.67423279826,47,26,140.21003197604753,Sports,17,53.0,0.08163374065898577
248,50,Other,56775.830628602635,15,25,252.48359182098852,Home,50,15.0,0.5016473404771685
249,57,Other,91680.07211127391,19,10,267.78129059585933,Electronics,40,96.0,0.09287162090766718
250,56,Female,106155.83389992136,26,27,211.65305108473186,Clothing,58,26.0,0.18070535219841527
251,35,Female,53567.53727908074,52,13,342.470806735416,Home,21,48.0,0.149386139496819
252,57,Female,50979.899397401445,93,19,216.32488914461723,Sports,18,95.0,0.22338425914382867
253,18,Male,62983.54520689871,22,11,338.667014930972,Electronics,55,19.0,0.1527982595339771
254,28,Male,50446.397082115865,21,13,297.74262237399813,Beauty,29,9.0,0.2933705558630712
255,45,Female,47522.596079797586,51,21,324.12844064355255,Clothing,24,64.0,0.24444472881281123
256,42,Male,49265.229195169806,38,8,162.1159327354884,Sports,17,93.0,0.5919416944675959
257,40,Female,94315.1201601249,20,8,257.8648153790482,Home,18,54.0,0.0335558100769354
258,48,Other,75437.63990070864,29,4,245.7737596340185,Electronics,42,51.0,0.08530882583241096
259,47,Female,50381.07745483818,51,15,136.23947800739734,Clothing,45,39.0,0.031695536345161486
260,59,Other,10897.499485554292,4,28,338.40485838423274,Electronics,17,4.0,0.37550471698942545
261,52,Male,29110.71012787065,55,11,184.60792824741202,Beauty,14,3.0,0.03270556644823175
262,24,Female,70068.58165203755,71,11,201.23457369312138,Home,49,64.0,0.501863842425674
263,33,Male,17568.881172223653,92,1,168.93473315218193,Electronics,29,29.0,0.3071631784091567
264,43,Other,65859.87054903911,28,17,306.0949060856299,Sports,4,11.0,0.3162045747489202
265,19,Other,38688.72550269949,4,15,127.92562249819234,Home,20,97.0,0.33695670462731653
266,18,Other,61836.11549161347,22,20,299.42998403716547,Sports,47,58.0,0.10248822378372643
267,29,Male,61277.12602668286,76,6,333.56111889947687,Electronics,9,75.0,0.11861418186869252
268,22,Male,62411.79867781423,45,24,292.97427421006086,Home,27,27.0,0.1912903937238028
269,54,Male,52111.56305842959,67,22,307.01027870771435,Sports,15,97.0,0.35609784949311085
270,49,Male,51454.28748784535,86,28,310.76371756624343,Beauty,19,21.0,0.12607066556412871
271,26,Other,45584.191621271224,66,25,174.04605386193887,Beauty,52,39.0,0.06979903627995673
272,58,Other,69677.8463448378,88,15,364.7787983731475,Electronics,26,95.0,0.5820701318510593
273,52,Female,76103.85349561897,34,9,213.1938996693201,Home,26,46.0,0.013189088885773748
274,36,Female,35620.54954927747,91,14,244.68899059280224,Clothing,26,66.0,0.48161844320161296
275,33,Male,58967.43055415461,55,18,223.3890145319233,Home,46,91.0,0.47282108974501325
276,20,Other,63931.64146975476,1,26,289.3233696701847,Beauty,49,36.0,0.1783284683070576
277,37,Other,63675.422692460845,72,17,206.95702054900622,Sports,53,75.0,0.08137596960438805
278,41,Other,63335.392391930356,87,18,255.3532579389895,Clothing,3,82.0,0.08737718802325405
279,50,Female,51959.30379309552,38,5,151.1724946283196,Electronics,66,65.0,0.4184589703423155
280,41,Female,65580.60850925079,6,20,343.17321668012573,Clothing,42,63.0,0.3856839546517042
281,28,Other,72360.5742196724,86,20,303.65927567601625,Electronics,19,,0.46964740455083204
282,25,Other,62820.73311645128,25,9,226.61921904785845,Clothing,17,35.0,0.5624887034394628
283,53,Other,70118.79673067448,82,11,212.46807759793518,Electronics,33,31.0,0.41515641795995517
284,55,Female,79807.06822075014,17,24,301.5702597054157,Electronics,49,28.0,0.09351092193086608
285,57,Other,22981.192842094642,61,22,193.41652954912306,Clothing,56,1.0,0.1460655700592464
286,37,Other,78869.27683730735,12,1,260.0292252612135,Clothing,63,25.0,0.5053162385238688
287,52,Male,267394.22121770197,6,18,342.9119029945125,Electronics,3,43.0,0.12558364550052514
288,42,Male,37767.49344522547,90,6,185.09943046902458,Beauty,49,84.0,0.04351339017268885
289,52,Female,76049.41764639378,27,27,279.48806632961623,Clothing,55,67.0,0.42196803242535025
290,42,Other,52033.58187952077,8,2,275.2580213548394,Home,26,63.0,0.24151581329408522
291,46,Other,54760.67127362894,83,15,242.21305450698537,Sports,52,51.0,0.5520240315275421
292,35,Male,49846.40435068675,65,29,209.69683327168505,Electronics,7,2.0,0.39015304265619694
293,63,Female,66047.97688476449,57,26,347.1837645515508,Electronics,46,82.0,0.054251386674996446
294,35,Male,44292.93714975894,93,21,202.1945091386427,Sports,46,64.0,0.5687139403521965
295,19,Male,78029.49259895572,99,14,105.0368879096304,Beauty,16,74.0,0.15513435818414753
296,52,Male,57222.74825610657,40,5,301.2426873304827,Sports,24,69.0,0.20232749424377144
297,33,Male,52715.95033024125,14,6,153.89573201857328,Clothing,61,9.0,0.24135624821012522
298,58,Other,75057.5135522794,35,6,305.35049158840695,Sports,54,2.0,0.03073457784258795
299,53,Other,,48,22,356.7922598274755,Electronics,62,34.0,0.2979092533383629
300,50,Male,78963.53650724603,84,18,300.3799902718939,Sports,1,60.0,0.07399109464517535
301,21,Female,79591.85901681731,56,14,335.7129041509993,Home,49,61.0,0.24058219601301103
302,50,Female,33303.92323562046,49,10,411.60392855437175,Clothing,25,31.0,0.21042587279525057
